comment_id,docket_id,agency,category,topic,posted_date,submitter_name,submitter_type,word_count,ai_score,ai_assisted,human_score
DOL-2025-0005-0053,DOL-2025-0005,DOL,labor,labor,2025-07-29,,Unknown,117,0.0,,1.0
DOL-2025-0005-0025,DOL-2025-0005,DOL,labor,labor,2025-07-25,,Unknown,56,0.0,,1.0
DOL-2025-0005-0017,DOL-2025-0005,DOL,labor,labor,2025-07-25,,Unknown,75,0.0,,1.0
DOL-2025-0005-0012,DOL-2025-0005,DOL,labor,labor,2025-07-25,,Unknown,61,0.0,,1.0
DOL-2025-0005-0035,DOL-2025-0005,DOL,labor,labor,2025-07-25,,Unknown,148,0.0,,1.0
NPS-2025-0001-0012,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-07,,Unknown,175,0.0,,1.0
NPS-2025-0001-0042,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-25,,Unknown,342,0.0,,1.0
NPS-2025-0001-0051,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-03-04,,Unknown,129,0.0,,1.0
NPS-2025-0001-0049,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-03-03,,Unknown,61,0.0,,1.0
NPS-2025-0001-0013,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-07,,Unknown,82,0.0,,1.0
NPS-2025-0001-0015,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-13,,Unknown,391,1.0,,0.0
NPS-2025-0001-0053,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-03-13,,Unknown,212,0.0,,1.0
NPS-2025-0001-0004,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-04,,Unknown,336,0.0,,1.0
NPS-2025-0001-0005,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-04,,Unknown,191,0.0,,1.0
NPS-2025-0001-0034,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-24,,Unknown,96,0.0,,1.0
NPS-2025-0001-0011,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-05,,Unknown,134,0.0,,1.0
NPS-2025-0001-0024,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-21,,Unknown,70,0.0,,1.0
NPS-2025-0001-0062,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-03-18,,Unknown,705,0.0,,1.0
NPS-2025-0001-0045,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-03-03,,Unknown,59,0.0,,1.0
NPS-2025-0001-0057,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-03-17,,Unknown,377,0.0,,1.0
NPS-2025-0001-0010,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-05,,Unknown,101,0.0,,1.0
NPS-2025-0001-0030,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-21,,Unknown,99,0.0,,1.0
NPS-2025-0001-0031,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-24,,Unknown,121,0.0,,1.0
NPS-2025-0001-0035,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-24,,Unknown,112,0.0,,1.0
NPS-2025-0001-0014,NPS-2025-0001,NPS,public_lands_routine,public_lands,2025-02-07,,Unknown,88,0.0,,1.0
NPS-2025-0003-0010,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-03,,Unknown,68,0.0,,1.0
NPS-2025-0003-0031,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-05,,Unknown,81,0.0,,1.0
NPS-2025-0003-0027,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-05,,Unknown,96,0.0,,1.0
NPS-2025-0003-0020,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-05,,Unknown,83,0.0,,1.0
NPS-2025-0003-0006,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-03,,Unknown,144,1.0,,0.0
NPS-2025-0003-0036,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-18,,Unknown,796,0.0,,1.0
NPS-2025-0003-0015,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-05,,Unknown,57,0.0,,1.0
NPS-2025-0003-0017,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-05,,Unknown,99,0.0,,1.0
NPS-2025-0003-0018,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-05,,Unknown,52,0.0,,1.0
NPS-2025-0003-0049,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-03-03,,Unknown,54,0.0,,1.0
NPS-2025-0003-0045,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-26,,Unknown,176,0.0,,1.0
NPS-2025-0003-0057,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-03-03,,Unknown,77,0.0,,1.0
NPS-2025-0003-0053,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-03-03,,Unknown,140,0.0,,1.0
NPS-2025-0003-0026,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-05,,Unknown,82,0.0,,1.0
NPS-2025-0003-0003,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-01-27,,Unknown,235,0.0,,1.0
NPS-2025-0003-0060,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-03-10,,Unknown,74,0.0,,1.0
NPS-2025-0003-0058,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-03-03,,Unknown,179,0.0,,1.0
NPS-2025-0003-0011,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-02-03,,Unknown,82,0.0,,1.0
NPS-2025-0003-0056,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-03-03,,Unknown,94,0.0,,1.0
NPS-2025-0003-0054,NPS-2025-0003,NPS,public_lands_routine,public_lands,2025-03-03,,Unknown,70,0.0,,1.0
BLM-2025-0001-0349,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,370,0.0,,1.0
BLM-2025-0001-0374,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,54,0.0,,1.0
BLM-2025-0001-0330,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,338,0.0,,1.0
BLM-2025-0001-0357,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,85,0.0,,1.0
BLM-2025-0001-0359,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,72,0.0,,1.0
BLM-2025-0001-0393,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,75,0.0,,1.0
BLM-2025-0001-0302,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,136,0.0,,1.0
BLM-2025-0001-0383,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,122,0.0,,1.0
BLM-2025-0001-0313,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,265,0.0,,1.0
BLM-2025-0001-0387,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,285,1.0,,0.0
BLM-2025-0001-0347,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,51,0.0,,1.0
BLM-2025-0001-0363,BLM-2025-0001,BLM,political_environment,public_lands,2025-09-15,,Unknown,427,1.0,,0.0
BLM-2025-0001-6655,BLM-2025-0001,BLM,political_environment,public_lands,2025-10-31,,Unknown,236,0.0,,1.0
BLM-2025-0001-6545,BLM-2025-0001,BLM,political_environment,public_lands,2025-10-31,,Unknown,100,0.0,,1.0
BLM-2025-0001-6542,BLM-2025-0001,BLM,political_environment,public_lands,2025-10-31,,Unknown,62,1.0,,0.0
BLM-2025-0001-6531,BLM-2025-0001,BLM,political_environment,public_lands,2025-10-31,,Unknown,304,1.0,,0.0
BLM-2025-0001-6544,BLM-2025-0001,BLM,political_environment,public_lands,2025-10-31,,Unknown,194,0.0,,1.0
BLM-2025-0001-6509,BLM-2025-0001,BLM,political_environment,public_lands,2025-10-31,,Unknown,122,1.0,,0.0
BLM-2025-0001-6539,BLM-2025-0001,BLM,political_environment,public_lands,2025-10-31,,Unknown,254,0.0,,1.0
BLM-2025-0001-6530,BLM-2025-0001,BLM,political_environment,public_lands,2025-10-31,,Unknown,404,0.0,,1.0
BLM-2025-0002-10993,BLM-2025-0002,BLM,political_environment,public_lands,2025-06-27,,Unknown,242,1.0,,0.0
BLM-2025-0002-11976,BLM-2025-0002,BLM,political_environment,public_lands,2025-06-27,,Unknown,564,0.0,,1.0
BLM-2025-0002-11352,BLM-2025-0002,BLM,political_environment,public_lands,2025-06-27,,Unknown,263,1.0,,0.0
BLM-2025-0002-11401,BLM-2025-0002,BLM,political_environment,public_lands,2025-06-27,,Unknown,241,1.0,,0.0
BLM-2025-0002-15991,BLM-2025-0002,BLM,political_environment,public_lands,2025-06-27,,Unknown,268,0.0,,1.0
BLM-2025-0002-9280,BLM-2025-0002,BLM,political_environment,public_lands,2025-06-26,,Unknown,576,0.0,,1.0
BLM-2025-0002-16395,BLM-2025-0002,BLM,political_environment,public_lands,2025-06-27,,Unknown,250,1.0,,0.0
BLM-2025-0002-15206,BLM-2025-0002,BLM,political_environment,public_lands,2025-06-27,,Unknown,240,1.0,,0.0
